Station name,Easting,Northing,PRL_Count,BRV_Count,Closed (Y/N),Opened,Closed,FIRE_avg_seconds_2015,FIRE_avg_seconds_2016,FIRE_avg_seconds_2017,FIRE_avg_seconds_2018,FIRE_avg_seconds_2019,FIRE_avg_seconds_2020,FIRE_avg_seconds_2021,FIRE_avg_seconds_2022,RTC_avg_seconds_2015,RTC_avg_seconds_2016,RTC_avg_seconds_2017,RTC_avg_seconds_2018,RTC_avg_seconds_2019,RTC_avg_seconds_2020,RTC_avg_seconds_2021,RTC_avg_seconds_2022,SSC_avg_seconds_2015,SSC_avg_seconds_2016,SSC_avg_seconds_2017,SSC_avg_seconds_2018,SSC_avg_seconds_2019,SSC_avg_seconds_2020,SSC_avg_seconds_2021,SSC_avg_seconds_2022,Overall_avg_seconds_2015,Overall_avg_seconds_2016,Overall_avg_seconds_2017,Overall_avg_seconds_2018,Overall_avg_seconds_2019,Overall_avg_seconds_2020,Overall_avg_seconds_2021,Overall_avg_seconds_2022,Station name__y,FIRE_response_avg_seconds_2015,FIRE_response_avg_seconds_2016,FIRE_response_avg_seconds_2017,FIRE_response_avg_seconds_2018,FIRE_response_avg_seconds_2019,FIRE_response_avg_seconds_2020,FIRE_response_avg_seconds_2021,FIRE_response_avg_seconds_2022,RTC_response_avg_seconds_2015,RTC_response_avg_seconds_2016,RTC_response_avg_seconds_2017,RTC_response_avg_seconds_2018,RTC_response_avg_seconds_2019,RTC_response_avg_seconds_2020,RTC_response_avg_seconds_2021,RTC_response_avg_seconds_2022,SSC_response_avg_seconds_2015,SSC_response_avg_seconds_2016,SSC_response_avg_seconds_2017,SSC_response_avg_seconds_2018,SSC_response_avg_seconds_2019,SSC_response_avg_seconds_2020,SSC_response_avg_seconds_2021,SSC_response_avg_seconds_2022,Overall_response_avg_seconds_2015,Overall_response_avg_seconds_2016,Overall_response_avg_seconds_2017,Overall_response_avg_seconds_2018,Overall_response_avg_seconds_2019,Overall_response_avg_seconds_2020,Overall_response_avg_seconds_2021,Overall_response_avg_seconds_2022
Ladywood,404983,286788,1,1,N,Before study period,,315.2,285.8,256.4,333,341.2,308.3,372.6,353.9,209.6,199.5,217.7,212.1,228.6,223.1,250.6,220.1,265.9,295.6,264.1,310.2,272.2,246.8,285.6,264.1,288.8,274,254.2,309,300.3,280.4,327.9,301.5,Ladywood,71.8,57.3,64.7,51.1,36.4,37.9,42.5,47.3,65.3,52.1,54.3,41.5,40.4,35.2,41.9,53.5,73.3,57.5,58.6,56,40.4,40,46.8,52.3,71.4,56.5,62,51.5,38.3,38.1,43.9,50
Northfield,401796,278838,1,1,N,Before study period,,308.5,305.3,332.4,330.1,296.8,301.9,338.4,334.8,195.2,163.2,160.6,163.3,198.3,159.1,169,194.6,271.1,265.7,291.1,296.6,284,233.3,285,267.9,291,281.3,307.5,303.6,277.8,266.7,300.2,295.5,Northfield,85.3,87.1,93.9,81.7,83.5,68.5,66.7,87,71.4,69.9,80.8,62,68.1,48.5,52.6,66.4,85,84.6,90.2,89.5,87.5,75.5,66.9,79.2,83.7,84.7,91.9,82.2,82.3,69.1,65.2,81.9
Oldbury,399022,288393,1,1,N,Before study period,,309.4,312.6,291.6,338,347.4,354.6,417,365.7,186.8,223.5,245.9,222.8,252.3,207.8,188.2,237.6,249.8,249.3,204.2,233.7,267.3,318.9,227.3,299.5,288.4,282.1,267.1,293.1,315.2,328.3,335.5,325.1,Oldbury,81.7,76.9,84.7,67.3,61.1,57.6,62.3,68.5,71.1,73.8,59.9,63.5,60.2,70,63.2,66,83.6,66.5,80.4,64.4,69.6,52.4,57,60.2,80.6,74.7,78.8,65.9,62.7,58.6,61.2,66.2
Perry Barr,408405,293078,1,1,N,Before study period,,341.4,328.1,367,373.8,363.1,369.5,313,335.4,252.4,255.1,217,235,259.4,257.1,257.7,261.8,287.6,325,309.6,302.1,290.7,317.7,255.5,286.2,320.2,317.1,329.4,337.5,324,338.7,287.9,309,Perry Barr,85.9,67,62.2,60,60.1,59.6,57.2,62.6,75.5,61.5,57.9,52.2,45.2,48.5,48.1,62,89.3,69.3,63,65.1,63,61.2,53,67.1,85.3,66.6,61.6,60.2,58,58.2,54.5,63.5
Sheldon,414991,286606,1,1,N,Before study period,,300,315.8,302.5,327.3,329.8,315.2,340.9,316.6,248.2,317.3,220.9,250.1,228.4,258.2,273.4,291.4,282.8,260,251.6,244.6,295.5,260.8,281.2,233,294.6,305.4,284.4,302.6,307.7,296.5,316.3,292.4,Sheldon,82.1,76.5,77.4,74,82.1,71.6,66.7,70.5,77.9,70.1,80.4,68.8,67.2,60.5,72.8,66,83.3,72.6,75.5,82.1,85.3,70.7,71.3,68.5,82,75,77.3,75,80.8,70.2,68.7,69.3
Smethwick,401805,288545,1,0,N,Before study period,,241.5,229.2,224.1,218,300.8,232.7,244.6,260.6,252.5,224.8,206.4,226.9,222.6,212.7,253.3,258.6,273.3,205.8,220.4,279,261.4,252.4,234.3,271.9,249,224.3,218,237.5,267.2,230.7,242.3,263.9,Smethwick,64,57.9,66.8,70.8,63.4,55.1,63.5,56.3,61.3,68.8,55.1,67.6,67.7,54.6,58.7,59.8,54.7,63.4,52.8,61.6,66.7,62.8,57.1,65.6,61.9,62.4,59.9,67.3,65.6,56.7,60.3,60.2
Solihull,414377,279802,1,1,N,Before study period,,399.1,362.3,355.9,374.5,380.6,355.3,367.8,446.4,313.2,302.5,313.5,371.6,318.1,359.4,313.3,342.4,342.4,294.7,249.1,336.1,296,328.4,314.9,316.9,375,334.9,323.3,361.9,340.9,346.8,337.8,381.5,Solihull,82.5,77.6,73.9,68,62.6,57.3,58,54.4,62.1,63.2,67.3,63.1,59.5,55,55.9,62.4,82,73.4,67.4,66.2,63.5,58.8,62.9,61.8,79.3,73.2,71.3,66.7,62.2,57.4,58.9,58.6
Stourbridge,390368,284156,1,0,N,Before study period,,240,259.6,232,242.4,235.7,214.5,240.1,257.7,187.2,171.3,240.2,212.4,235,204.4,190.9,299.8,209.1,288.5,188.1,241.2,263.3,198.6,256.9,251.3,227.5,256.6,223.3,237.1,241.6,208.9,235.1,262.1,Stourbridge,75.6,67.4,79.8,80.4,76.9,67.9,66.1,66,86,73.7,73.5,77.9,76.2,65.5,65.8,61.9,68.4,61.9,90.4,62.8,62.8,50.2,57.7,81.1,75.1,67.1,81.2,74.9,73.6,64.2,62.9,70.9
Sutton Coldfield,412078,296747,1,0,N,Before study period,,248.4,259,271.6,205,268.3,346.8,269.5,267.4,217.4,271.6,225.4,259.3,263.7,260.2,262.2,269.2,283.3,289.5,177.5,207.3,196,266.5,273.5,212.4,250.6,274.8,236,215.3,236.6,305.2,269.8,248.1,Sutton Coldfield,64.6,60.5,76.8,70.7,59.4,56.9,57.3,72.5,68.2,62.7,67.6,61.2,57.7,62.1,68.5,53.2,69,70.2,68.1,72.6,60,62.7,58.8,57.6,66.3,65.2,72.1,69.9,59.3,59.7,59.8,62.2
Tettenhall,388415,300090,1,0,N,Before study period,,229.4,217,268.5,267.8,237.4,216.6,299.3,313.4,277.2,180.1,229.5,262.8,226.4,173,188.1,163,299,138.7,254.3,301.9,285.3,259.6,343.1,218.4,270.4,182.5,261.4,280.3,253.6,229.7,295.4,263.2,Tettenhall,60,69.2,51,59.7,50.8,64.3,53,77.7,38.5,42.8,71.5,71,73,45.7,48.9,62.7,33.5,45.2,80.5,59,59.6,60.2,48.6,39.9,43.4,54.5,60.5,61.5,58.4,61.2,50.8,62.9
Tipton,396494,292683,1,0,N,Before study period,,237.7,234.5,224,238.4,240.6,236.1,264.3,257,236.9,215.4,199.3,202,223.2,239.2,185.4,217.5,167.9,163.4,276,249.8,264.3,245.1,221.8,263.6,226.7,220.6,237.7,234.4,242.5,239.1,235.9,248.6,Tipton,70.6,65.1,57.8,63.8,56.9,55.2,58,53.3,67.2,73,56.2,67.4,54.7,55.5,56.2,48.6,57.9,108.6,57.9,76.7,63,52.1,44.8,62.3,68.1,72.6,57.5,67.2,57.9,54.4,54,54.4
Walsall,400789,298890,2,0,N,Before study period,,263.6,232.9,258.8,242.6,295.2,285.1,276.9,268.6,204.2,205.2,250.5,269.9,229,250.5,232.5,205.9,265.5,265.2,268.4,249.8,302,240.7,244.5,242.3,253.2,231.7,259.5,250.4,285.8,266.6,259.4,252.1,Walsall,82.6,78.1,94.5,78.3,67.2,71.3,73.4,79,76,74.7,87.1,79.5,54.6,68.1,68.6,87.9,80.7,79,90.6,74.7,66.5,74.6,77.1,75,81,77.3,91.8,77.6,64.9,71.7,73.4,79.2
Ward End,411296,288549,1,1,N,Before study period,,307.5,280.7,258.2,266.2,314.2,335.8,294.3,335.7,209.1,204.7,215.3,225.5,228.2,210.3,221.7,250.1,312.4,262.5,260.2,270.2,273.5,269.2,286.8,326.5,297.4,267.3,253.9,261.8,286.2,301.7,278.5,318.8,Ward End,80,70.8,74,71.6,57.8,53.3,55.9,52.3,74.3,75.6,69.1,70.9,54.4,51.3,55.4,61.4,75.9,59.1,73.7,72.1,59.8,50.1,65.5,59,78.9,70.3,73.4,71.6,57.5,52.3,57.5,55.6
Wednesbury,398425,294968,1,0,N,Before study period,,292.2,258.3,205.7,211.5,267.2,260.9,262.8,260.6,197.6,164.4,205.2,193.8,251.2,174.3,205.5,179,347.7,276,342.6,219.2,358.2,295.3,201.6,112.2,288.8,248.3,223.6,208.9,274.6,248.3,233.1,211.4,Wednesbury,84.2,68.1,91.2,82.1,64.4,44.3,68.4,66.4,87,84.6,58.7,69.4,52.9,46.5,66.6,72.5,70.3,68.1,121.4,70.9,91.2,64.7,76.3,68.8,80.9,70.8,87.5,75.8,64.9,49,70.1,68.7
West Bromwich,400485,291813,1,1,N,Before study period,,391.5,408.6,447.3,405,409.6,391,436.6,472.9,238.6,228,241.1,221.2,207.2,230.7,246.6,268.3,341,298.3,338.1,323.7,284.9,286.8,327.1,261.7,373.6,376.3,413.1,371.9,354.5,352,379.5,399.7,West Bromwich,94.8,86.5,94.1,79.5,69.7,65.7,64.2,80.4,69.1,82.9,82.2,67.7,66.5,57,56.7,73.4,86.7,94.7,93.6,84.4,58.6,68.1,68.2,81.6,91.8,87.4,93.1,79.4,66.6,65.3,64.3,80
Willenhall,397381,299387,1,0,N,Before study period,,229.3,228.5,233.2,240.3,231.8,234,240.2,243.9,182.4,192.8,185.2,293.8,192.3,190.2,219.3,265,242.5,232.7,189.3,247.9,252.8,247.8,247.1,254,225.5,221.1,214.2,248.7,231.7,226,238.8,251.6,Willenhall,69.7,64.2,65.4,64.5,57.8,58.6,60,68.1,65.5,54.9,58.6,76.6,54.1,59,56.5,56.2,62.2,58.3,60,70.5,54,56.6,41.7,68.4,67.4,61.1,63,67.6,56.3,58.3,54.7,65.8
Wolverhampton,390873,297977,1,1,N,Before study period,,336.8,339.6,386.2,403.6,439,338.6,329,337.2,226.3,232.6,221.8,205.1,261.1,249.3,218.9,210.1,302.2,298.3,314.6,262.8,313.3,254.2,296.4,240.5,321,320.6,351.1,346.1,383.9,309.7,302.3,296.2,Wolverhampton,76.9,85.9,93.3,75.9,69.7,69.7,66.6,76,78.9,85.8,93.5,81.4,72.6,69.8,65.9,79,72.9,69.7,79.6,87.5,78,77,71.3,79.5,76.4,83.3,90.1,79.4,72,71.3,68,77.3
Woodgate Valley,401587,283003,1,0,N,Before study period,,244.4,220.8,214.1,204.6,250.4,208.8,249.3,232.6,202,207.2,254.8,222.9,214.5,199.9,206.8,237.5,236.9,213.6,248.5,243.6,214.5,209,252.8,230.8,234.1,216,233.9,220.6,230.8,207,240.2,233.6,Woodgate Valley,67.4,84.7,69.7,83.9,58.9,60.7,58.1,61,84.3,66.4,72.3,66.9,67.8,50.6,52.2,60.8,84.7,62.6,74.7,77.8,60.9,64,56.6,76,74.8,75.7,71.7,77.5,61.3,59.8,56.1,64.5
